Category: All categories

Week,Ibuprofen: (United States)
2005-03-13,51
2005-03-20,61
2005-03-27,55
2005-04-03,68
2005-04-10,60
2005-04-17,53
2005-04-24,57
2005-05-01,48
2005-05-08,55
2005-05-15,46
2005-05-22,43
2005-05-29,52
2005-06-05,61
2005-06-12,46
2005-06-19,54
2005-06-26,51
2005-07-03,54
2005-07-10,46
2005-07-17,51
2005-07-24,55
2005-07-31,44
2005-08-07,58
2005-08-14,53
2005-08-21,53
2005-08-28,55
2005-09-04,49
2005-09-11,49
2005-09-18,48
2005-09-25,57
2005-10-02,51
2005-10-09,56
2005-10-16,50
2005-10-23,57
2005-10-30,48
2005-11-06,51
2005-11-13,51
2005-11-20,43
2005-11-27,52
2005-12-04,51
2005-12-11,50
2005-12-18,57
2005-12-25,59
2006-01-01,55
2006-01-08,67
2006-01-15,55
2006-01-22,52
2006-01-29,64
2006-02-05,59
2006-02-12,59
2006-02-19,58
2006-02-26,55
2006-03-05,52
2006-03-12,55
2006-03-19,56
2006-03-26,60
2006-04-02,58
2006-04-09,64
2006-04-16,59
2006-04-23,61
2006-04-30,52
2006-05-07,62
2006-05-14,49
2006-05-21,59
2006-05-28,60
2006-06-04,52
2006-06-11,49
2006-06-18,56
2006-06-25,49
2006-07-02,59
2006-07-09,51
2006-07-16,62
2006-07-23,52
2006-07-30,54
2006-08-06,52
2006-08-13,46
2006-08-20,49
2006-08-27,51
2006-09-03,55
2006-09-10,66
2006-09-17,63
2006-09-24,55
2006-10-01,55
2006-10-08,58
2006-10-15,54
2006-10-22,60
2006-10-29,46
2006-11-05,57
2006-11-12,56
2006-11-19,48
2006-11-26,52
2006-12-03,57
2006-12-10,57
2006-12-17,61
2006-12-24,62
2006-12-31,48
2007-01-07,53
2007-01-14,58
2007-01-21,65
2007-01-28,61
2007-02-04,53
2007-02-11,59
2007-02-18,68
2007-02-25,62
2007-03-04,66
2007-03-11,59
2007-03-18,55
2007-03-25,62
2007-04-01,62
2007-04-08,64
2007-04-15,54
2007-04-22,54
2007-04-29,55
2007-05-06,58
2007-05-13,52
2007-05-20,59
2007-05-27,60
2007-06-03,58
2007-06-10,64
2007-06-17,57
2007-06-24,54
2007-07-01,57
2007-07-08,54
2007-07-15,59
2007-07-22,59
2007-07-29,56
2007-08-05,52
2007-08-12,57
2007-08-19,54
2007-08-26,59
2007-09-02,57
2007-09-09,63
2007-09-16,65
2007-09-23,58
2007-09-30,72
2007-10-07,64
2007-10-14,68
2007-10-21,64
2007-10-28,58
2007-11-04,63
2007-11-11,62
2007-11-18,59
2007-11-25,60
2007-12-02,53
2007-12-09,51
2007-12-16,63
2007-12-23,62
2007-12-30,69
2008-01-06,65
2008-01-13,65
2008-01-20,66
2008-01-27,71
2008-02-03,73
2008-02-10,71
2008-02-17,71
2008-02-24,63
2008-03-02,70
2008-03-09,71
2008-03-16,64
2008-03-23,58
2008-03-30,66
2008-04-06,66
2008-04-13,63
2008-04-20,67
2008-04-27,63
2008-05-04,56
2008-05-11,60
2008-05-18,61
2008-05-25,58
2008-06-01,56
2008-06-08,62
2008-06-15,64
2008-06-22,52
2008-06-29,51
2008-07-06,63
2008-07-13,68
2008-07-20,61
2008-07-27,62
2008-08-03,57
2008-08-10,57
2008-08-17,64
2008-08-24,70
2008-08-31,58
2008-09-07,65
2008-09-14,68
2008-09-21,67
2008-09-28,64
2008-10-05,70
2008-10-12,68
2008-10-19,71
2008-10-26,64
2008-11-02,59
2008-11-09,71
2008-11-16,97
2008-11-23,70
2008-11-30,70
2008-12-07,66
2008-12-14,57
2008-12-21,61
2008-12-28,67
2009-01-04,72
2009-01-11,68
2009-01-18,63
2009-01-25,80
2009-02-01,73
2009-02-08,74
2009-02-15,76
2009-02-22,76
2009-03-01,71
2009-03-08,70
2009-03-15,76
2009-03-22,68
2009-03-29,73
2009-04-05,68
2009-04-12,80
2009-04-19,73
2009-04-26,71
2009-05-03,68
2009-05-10,68
2009-05-17,76
2009-05-24,69
2009-05-31,69
2009-06-07,73
2009-06-14,75
2009-06-21,72
2009-06-28,89
2009-07-05,80
2009-07-12,77
2009-07-19,71
2009-07-26,73
2009-08-02,69
2009-08-09,73
2009-08-16,80
2009-08-23,73
2009-08-30,75
2009-09-06,75
2009-09-13,82
2009-09-20,91
2009-09-27,83
2009-10-04,81
2009-10-11,89
2009-10-18,92
2009-10-25,87
2009-11-01,87
2009-11-08,89
2009-11-15,83
2009-11-22,71
2009-11-29,79
2009-12-06,80
2009-12-13,73
2009-12-20,74
2009-12-27,81
2010-01-03,80
2010-01-10,86
2010-01-17,100
2010-01-24,81
2010-01-31,84
2010-02-07,86
2010-02-14,89
2010-02-21,84
2010-02-28,86
2010-03-07,89
