Category: All categories

Week,Hand sanitizer: (United States)
2010-03-07,16
2010-03-14,14
2010-03-21,15
2010-03-28,12
2010-04-04,14
2010-04-11,14
2010-04-18,15
2010-04-25,13
2010-05-02,14
2010-05-09,11
2010-05-16,11
2010-05-23,13
2010-05-30,11
2010-06-06,11
2010-06-13,9
2010-06-20,11
2010-06-27,12
2010-07-04,10
2010-07-11,10
2010-07-18,10
2010-07-25,11
2010-08-01,12
2010-08-08,10
2010-08-15,13
2010-08-22,9
2010-08-29,14
2010-09-05,9
2010-09-12,15
2010-09-19,14
2010-09-26,17
2010-10-03,15
2010-10-10,13
2010-10-17,11
2010-10-24,14
2010-10-31,14
2010-11-07,16
2010-11-14,14
2010-11-21,12
2010-11-28,15
2010-12-05,14
2010-12-12,13
2010-12-19,9
2010-12-26,10
2011-01-02,14
2011-01-09,13
2011-01-16,15
2011-01-23,13
2011-01-30,13
2011-02-06,15
2011-02-13,14
2011-02-20,13
2011-02-27,15
2011-03-06,13
2011-03-13,14
2011-03-20,13
2011-03-27,15
2011-04-03,14
2011-04-10,15
2011-04-17,15
2011-04-24,14
2011-05-01,12
2011-05-08,12
2011-05-15,12
2011-05-22,13
2011-05-29,13
2011-06-05,11
2011-06-12,12
2011-06-19,15
2011-06-26,15
2011-07-03,11
2011-07-10,11
2011-07-17,11
2011-07-24,11
2011-07-31,13
2011-08-07,11
2011-08-14,14
2011-08-21,12
2011-08-28,13
2011-09-04,14
2011-09-11,15
2011-09-18,14
2011-09-25,16
2011-10-02,14
2011-10-09,15
2011-10-16,14
2011-10-23,14
2011-10-30,13
2011-11-06,14
2011-11-13,15
2011-11-20,13
2011-11-27,15
2011-12-04,15
2011-12-11,14
2011-12-18,14
2011-12-25,11
2012-01-01,14
2012-01-08,15
2012-01-15,15
2012-01-22,15
2012-01-29,15
2012-02-05,14
2012-02-12,13
2012-02-19,14
2012-02-26,14
2012-03-04,14
2012-03-11,12
2012-03-18,14
2012-03-25,13
2012-04-01,12
2012-04-08,13
2012-04-15,13
2012-04-22,100
2012-04-29,23
2012-05-06,21
2012-05-13,16
2012-05-20,14
2012-05-27,16
2012-06-03,16
2012-06-10,16
2012-06-17,14
2012-06-24,15
2012-07-01,13
2012-07-08,14
2012-07-15,14
2012-07-22,15
2012-07-29,14
2012-08-05,15
2012-08-12,19
2012-08-19,18
2012-08-26,17
2012-09-02,16
2012-09-09,14
2012-09-16,17
2012-09-23,16
2012-09-30,16
2012-10-07,15
2012-10-14,20
2012-10-21,15
2012-10-28,12
2012-11-04,16
2012-11-11,16
2012-11-18,12
2012-11-25,16
2012-12-02,16
2012-12-09,15
2012-12-16,15
2012-12-23,12
2012-12-30,15
2013-01-06,21
2013-01-13,23
2013-01-20,21
2013-01-27,22
2013-02-03,20
2013-02-10,20
2013-02-17,21
2013-02-24,17
2013-03-03,17
2013-03-10,18
2013-03-17,14
2013-03-24,17
2013-03-31,15
2013-04-07,15
2013-04-14,16
2013-04-21,15
2013-04-28,17
2013-05-05,18
2013-05-12,15
2013-05-19,14
2013-05-26,14
2013-06-02,14
2013-06-09,14
2013-06-16,13
2013-06-23,15
2013-06-30,13
2013-07-07,14
2013-07-14,12
2013-07-21,16
2013-07-28,16
2013-08-04,14
2013-08-11,14
2013-08-18,17
2013-08-25,16
2013-09-01,16
2013-09-08,16
2013-09-15,15
2013-09-22,16
2013-09-29,15
2013-10-06,15
2013-10-13,19
2013-10-20,20
2013-10-27,17
2013-11-03,18
2013-11-10,16
2013-11-17,16
2013-11-24,12
2013-12-01,15
2013-12-08,17
2013-12-15,21
2013-12-22,12
2013-12-29,16
2014-01-05,20
2014-01-12,20
2014-01-19,18
2014-01-26,17
2014-02-02,16
2014-02-09,16
2014-02-16,14
2014-02-23,17
2014-03-02,16
2014-03-09,18
2014-03-16,15
2014-03-23,16
2014-03-30,16
2014-04-06,19
2014-04-13,16
2014-04-20,16
2014-04-27,17
2014-05-04,15
2014-05-11,15
2014-05-18,17
2014-05-25,17
2014-06-01,14
2014-06-08,16
2014-06-15,15
2014-06-22,14
2014-06-29,12
2014-07-06,14
2014-07-13,15
2014-07-20,15
2014-07-27,16
2014-08-03,19
2014-08-10,21
2014-08-17,20
2014-08-24,21
2014-08-31,17
2014-09-07,20
2014-09-14,19
2014-09-21,18
2014-09-28,23
2014-10-05,27
2014-10-12,37
2014-10-19,26
2014-10-26,20
2014-11-02,20
2014-11-09,19
2014-11-16,22
2014-11-23,18
2014-11-30,19
2014-12-07,19
2014-12-14,20
2014-12-21,15
2014-12-28,18
2015-01-04,19
2015-01-11,21
2015-01-18,17
2015-01-25,21
2015-02-01,19
2015-02-08,18
2015-02-15,17
2015-02-22,17
2015-03-01,17
