Category: All categories

Week,influenza: (United States)
2010-03-07,21
2010-03-14,19
2010-03-21,20
2010-03-28,18
2010-04-04,20
2010-04-11,20
2010-04-18,20
2010-04-25,17
2010-05-02,16
2010-05-09,16
2010-05-16,16
2010-05-23,11
2010-05-30,13
2010-06-06,12
2010-06-13,10
2010-06-20,11
2010-06-27,7
2010-07-04,8
2010-07-11,8
2010-07-18,9
2010-07-25,9
2010-08-01,9
2010-08-08,9
2010-08-15,10
2010-08-22,12
2010-08-29,16
2010-09-05,16
2010-09-12,17
2010-09-19,19
2010-09-26,21
2010-10-03,21
2010-10-10,21
2010-10-17,22
2010-10-24,21
2010-10-31,19
2010-11-07,20
2010-11-14,21
2010-11-21,15
2010-11-28,21
2010-12-05,19
2010-12-12,20
2010-12-19,15
2010-12-26,14
2011-01-02,18
2011-01-09,24
2011-01-16,25
2011-01-23,32
2011-01-30,33
2011-02-06,35
2011-02-13,42
2011-02-20,39
2011-02-27,34
2011-03-06,31
2011-03-13,27
2011-03-20,22
2011-03-27,19
2011-04-03,17
2011-04-10,16
2011-04-17,14
2011-04-24,13
2011-05-01,14
2011-05-08,11
2011-05-15,11
2011-05-22,10
2011-05-29,10
2011-06-05,8
2011-06-12,7
2011-06-19,7
2011-06-26,8
2011-07-03,7
2011-07-10,8
2011-07-17,6
2011-07-24,9
2011-07-31,7
2011-08-07,7
2011-08-14,8
2011-08-21,9
2011-08-28,11
2011-09-04,12
2011-09-11,15
2011-09-18,18
2011-09-25,19
2011-10-02,19
2011-10-09,18
2011-10-16,19
2011-10-23,18
2011-10-30,18
2011-11-06,18
2011-11-13,18
2011-11-20,14
2011-11-27,18
2011-12-04,16
2011-12-11,13
2011-12-18,11
2011-12-25,9
2012-01-01,14
2012-01-08,14
2012-01-15,13
2012-01-22,16
2012-01-29,18
2012-02-05,20
2012-02-12,22
2012-02-19,22
2012-02-26,23
2012-03-04,26
2012-03-11,25
2012-03-18,21
2012-03-25,21
2012-04-01,16
2012-04-08,17
2012-04-15,16
2012-04-22,16
2012-04-29,15
2012-05-06,14
2012-05-13,12
2012-05-20,13
2012-05-27,9
2012-06-03,10
2012-06-10,8
2012-06-17,8
2012-06-24,6
2012-07-01,7
2012-07-08,7
2012-07-15,8
2012-07-22,7
2012-07-29,7
2012-08-05,8
2012-08-12,9
2012-08-19,11
2012-08-26,11
2012-09-02,13
2012-09-09,16
2012-09-16,16
2012-09-23,18
2012-09-30,20
2012-10-07,17
2012-10-14,18
2012-10-21,18
2012-10-28,16
2012-11-04,19
2012-11-11,21
2012-11-18,15
2012-11-25,24
2012-12-02,34
2012-12-09,32
2012-12-16,39
2012-12-23,40
2012-12-30,51
2013-01-06,100
2013-01-13,79
2013-01-20,57
2013-01-27,47
2013-02-03,37
2013-02-10,32
2013-02-17,28
2013-02-24,26
2013-03-03,25
2013-03-10,23
2013-03-17,22
2013-03-24,18
2013-03-31,19
2013-04-07,19
2013-04-14,15
2013-04-21,16
2013-04-28,15
2013-05-05,13
2013-05-12,11
2013-05-19,10
2013-05-26,9
2013-06-02,9
2013-06-09,8
2013-06-16,7
2013-06-23,7
2013-06-30,6
2013-07-07,7
2013-07-14,7
2013-07-21,7
2013-07-28,7
2013-08-04,7
2013-08-11,9
2013-08-18,9
2013-08-25,11
2013-09-01,13
2013-09-08,16
2013-09-15,17
2013-09-22,20
2013-09-29,19
2013-10-06,19
2013-10-13,20
2013-10-20,21
2013-10-27,20
2013-11-03,20
2013-11-10,20
2013-11-17,20
2013-11-24,14
2013-12-01,21
2013-12-08,23
2013-12-15,28
2013-12-22,32
2013-12-29,42
2014-01-05,49
2014-01-12,49
2014-01-19,44
2014-01-26,39
2014-02-02,31
2014-02-09,27
2014-02-16,24
2014-02-23,22
2014-03-02,20
2014-03-09,18
2014-03-16,17
2014-03-23,17
2014-03-30,18
2014-04-06,20
2014-04-13,16
2014-04-20,17
2014-04-27,17
2014-05-04,16
2014-05-11,14
2014-05-18,13
2014-05-25,10
2014-06-01,9
2014-06-08,8
2014-06-15,8
2014-06-22,7
2014-06-29,8
2014-07-06,8
2014-07-13,8
2014-07-20,7
2014-07-27,8
2014-08-03,9
2014-08-10,8
2014-08-17,10
2014-08-24,11
2014-08-31,13
2014-09-07,15
2014-09-14,17
2014-09-21,20
2014-09-28,23
2014-10-05,27
2014-10-12,32
2014-10-19,29
2014-10-26,24
2014-11-02,22
2014-11-09,23
2014-11-16,22
2014-11-23,20
2014-11-30,33
2014-12-07,47
2014-12-14,66
2014-12-21,68
2014-12-28,75
2015-01-04,62
2015-01-11,54
2015-01-18,49
2015-01-25,44
2015-02-01,37
2015-02-08,32
2015-02-15,28
2015-02-22,27
2015-03-01,27
