Category: All categories

Week,Antibiotics: (United States)
2005-03-13,65
2005-03-20,71
2005-03-27,70
2005-04-03,86
2005-04-10,78
2005-04-17,74
2005-04-24,81
2005-05-01,72
2005-05-08,70
2005-05-15,60
2005-05-22,67
2005-05-29,57
2005-06-05,58
2005-06-12,59
2005-06-19,62
2005-06-26,63
2005-07-03,63
2005-07-10,68
2005-07-17,52
2005-07-24,60
2005-07-31,59
2005-08-07,65
2005-08-14,57
2005-08-21,64
2005-08-28,51
2005-09-04,63
2005-09-11,58
2005-09-18,59
2005-09-25,67
2005-10-02,66
2005-10-09,62
2005-10-16,67
2005-10-23,76
2005-10-30,76
2005-11-06,69
2005-11-13,70
2005-11-20,59
2005-11-27,67
2005-12-04,62
2005-12-11,62
2005-12-18,58
2005-12-25,65
2006-01-01,62
2006-01-08,69
2006-01-15,65
2006-01-22,71
2006-01-29,72
2006-02-05,67
2006-02-12,70
2006-02-19,76
2006-02-26,73
2006-03-05,72
2006-03-12,59
2006-03-19,69
2006-03-26,67
2006-04-02,67
2006-04-09,71
2006-04-16,73
2006-04-23,66
2006-04-30,64
2006-05-07,61
2006-05-14,60
2006-05-21,63
2006-05-28,58
2006-06-04,61
2006-06-11,58
2006-06-18,57
2006-06-25,55
2006-07-02,57
2006-07-09,55
2006-07-16,60
2006-07-23,56
2006-07-30,53
2006-08-06,54
2006-08-13,56
2006-08-20,55
2006-08-27,61
2006-09-03,47
2006-09-10,59
2006-09-17,57
2006-09-24,63
2006-10-01,69
2006-10-08,60
2006-10-15,63
2006-10-22,62
2006-10-29,67
2006-11-05,61
2006-11-12,70
2006-11-19,57
2006-11-26,65
2006-12-03,62
2006-12-10,66
2006-12-17,61
2006-12-24,64
2006-12-31,68
2007-01-07,71
2007-01-14,70
2007-01-21,66
2007-01-28,68
2007-02-04,58
2007-02-11,68
2007-02-18,66
2007-02-25,66
2007-03-04,68
2007-03-11,65
2007-03-18,70
2007-03-25,67
2007-04-01,63
2007-04-08,61
2007-04-15,66
2007-04-22,61
2007-04-29,64
2007-05-06,64
2007-05-13,59
2007-05-20,62
2007-05-27,65
2007-06-03,61
2007-06-10,62
2007-06-17,61
2007-06-24,57
2007-07-01,59
2007-07-08,63
2007-07-15,60
2007-07-22,58
2007-07-29,60
2007-08-05,65
2007-08-12,63
2007-08-19,61
2007-08-26,60
2007-09-02,62
2007-09-09,65
2007-09-16,68
2007-09-23,70
2007-09-30,69
2007-10-07,72
2007-10-14,67
2007-10-21,74
2007-10-28,76
2007-11-04,74
2007-11-11,73
2007-11-18,66
2007-11-25,69
2007-12-02,71
2007-12-09,65
2007-12-16,60
2007-12-23,71
2007-12-30,71
2008-01-06,70
2008-01-13,75
2008-01-20,77
2008-01-27,72
2008-02-03,73
2008-02-10,79
2008-02-17,77
2008-02-24,78
2008-03-02,77
2008-03-09,76
2008-03-16,80
2008-03-23,76
2008-03-30,74
2008-04-06,75
2008-04-13,71
2008-04-20,72
2008-04-27,69
2008-05-04,67
2008-05-11,69
2008-05-18,67
2008-05-25,63
2008-06-01,63
2008-06-08,61
2008-06-15,65
2008-06-22,64
2008-06-29,65
2008-07-06,67
2008-07-13,67
2008-07-20,65
2008-07-27,57
2008-08-03,61
2008-08-10,65
2008-08-17,59
2008-08-24,69
2008-08-31,65
2008-09-07,67
2008-09-14,65
2008-09-21,76
2008-09-28,72
2008-10-05,71
2008-10-12,71
2008-10-19,76
2008-10-26,78
2008-11-02,71
2008-11-09,83
2008-11-16,79
2008-11-23,66
2008-11-30,78
2008-12-07,74
2008-12-14,67
2008-12-21,68
2008-12-28,78
2009-01-04,79
2009-01-11,78
2009-01-18,74
2009-01-25,84
2009-02-01,85
2009-02-08,86
2009-02-15,85
2009-02-22,88
2009-03-01,83
2009-03-08,85
2009-03-15,92
2009-03-22,84
2009-03-29,81
2009-04-05,82
2009-04-12,87
2009-04-19,81
2009-04-26,89
2009-05-03,77
2009-05-10,80
2009-05-17,78
2009-05-24,81
2009-05-31,80
2009-06-07,75
2009-06-14,77
2009-06-21,75
2009-06-28,75
2009-07-05,79
2009-07-12,77
2009-07-19,75
2009-07-26,77
2009-08-02,77
2009-08-09,74
2009-08-16,77
2009-08-23,76
2009-08-30,87
2009-09-06,81
2009-09-13,86
2009-09-20,90
2009-09-27,90
2009-10-04,89
2009-10-11,93
2009-10-18,97
2009-10-25,97
2009-11-01,95
2009-11-08,94
2009-11-15,100
2009-11-22,82
2009-11-29,94
2009-12-06,93
2009-12-13,85
2009-12-20,81
2009-12-27,88
2010-01-03,87
2010-01-10,91
2010-01-17,88
2010-01-24,90
2010-01-31,95
2010-02-07,93
2010-02-14,98
2010-02-21,93
2010-02-28,97
2010-03-07,96
