Category: All categories

Week,Common cold: (United States)
2010-03-07,32
2010-03-14,29
2010-03-21,26
2010-03-28,25
2010-04-04,23
2010-04-11,22
2010-04-18,21
2010-04-25,23
2010-05-02,20
2010-05-09,22
2010-05-16,20
2010-05-23,19
2010-05-30,18
2010-06-06,17
2010-06-13,17
2010-06-20,16
2010-06-27,17
2010-07-04,16
2010-07-11,17
2010-07-18,17
2010-07-25,16
2010-08-01,17
2010-08-08,18
2010-08-15,19
2010-08-22,20
2010-08-29,23
2010-09-05,26
2010-09-12,30
2010-09-19,32
2010-09-26,30
2010-10-03,33
2010-10-10,32
2010-10-17,34
2010-10-24,31
2010-10-31,36
2010-11-07,35
2010-11-14,36
2010-11-21,37
2010-11-28,41
2010-12-05,43
2010-12-12,44
2010-12-19,44
2010-12-26,51
2011-01-02,53
2011-01-09,47
2011-01-16,48
2011-01-23,52
2011-01-30,50
2011-02-06,52
2011-02-13,50
2011-02-20,47
2011-02-27,43
2011-03-06,38
2011-03-13,34
2011-03-20,36
2011-03-27,35
2011-04-03,31
2011-04-10,30
2011-04-17,29
2011-04-24,27
2011-05-01,27
2011-05-08,27
2011-05-15,26
2011-05-22,24
2011-05-29,25
2011-06-05,23
2011-06-12,22
2011-06-19,20
2011-06-26,20
2011-07-03,20
2011-07-10,20
2011-07-17,19
2011-07-24,19
2011-07-31,18
2011-08-07,19
2011-08-14,21
2011-08-21,22
2011-08-28,24
2011-09-04,29
2011-09-11,34
2011-09-18,37
2011-09-25,36
2011-10-02,39
2011-10-09,35
2011-10-16,38
2011-10-23,38
2011-10-30,42
2011-11-06,42
2011-11-13,44
2011-11-20,39
2011-11-27,43
2011-12-04,44
2011-12-11,46
2011-12-18,48
2011-12-25,54
2012-01-01,54
2012-01-08,46
2012-01-15,47
2012-01-22,45
2012-01-29,46
2012-02-05,46
2012-02-12,48
2012-02-19,47
2012-02-26,44
2012-03-04,42
2012-03-11,38
2012-03-18,32
2012-03-25,31
2012-04-01,31
2012-04-08,33
2012-04-15,30
2012-04-22,30
2012-04-29,28
2012-05-06,27
2012-05-13,27
2012-05-20,25
2012-05-27,25
2012-06-03,25
2012-06-10,23
2012-06-17,24
2012-06-24,22
2012-07-01,23
2012-07-08,21
2012-07-15,21
2012-07-22,22
2012-07-29,23
2012-08-05,23
2012-08-12,24
2012-08-19,28
2012-08-26,29
2012-09-02,34
2012-09-09,38
2012-09-16,42
2012-09-23,44
2012-09-30,41
2012-10-07,44
2012-10-14,40
2012-10-21,39
2012-10-28,42
2012-11-04,43
2012-11-11,46
2012-11-18,44
2012-11-25,54
2012-12-02,52
2012-12-09,56
2012-12-16,65
2012-12-23,83
2012-12-30,91
2013-01-06,100
2013-01-13,92
2013-01-20,83
2013-01-27,67
2013-02-03,60
2013-02-10,52
2013-02-17,57
2013-02-24,49
2013-03-03,49
2013-03-10,44
2013-03-17,43
2013-03-24,42
2013-03-31,38
2013-04-07,34
2013-04-14,32
2013-04-21,33
2013-04-28,32
2013-05-05,31
2013-05-12,30
2013-05-19,27
2013-05-26,28
2013-06-02,26
2013-06-09,24
2013-06-16,25
2013-06-23,23
2013-06-30,22
2013-07-07,22
2013-07-14,21
2013-07-21,23
2013-07-28,24
2013-08-04,25
2013-08-11,27
2013-08-18,27
2013-08-25,30
2013-09-01,34
2013-09-08,36
2013-09-15,42
2013-09-22,45
2013-09-29,41
2013-10-06,40
2013-10-13,41
2013-10-20,47
2013-10-27,43
2013-11-03,48
2013-11-10,52
2013-11-17,48
2013-11-24,53
2013-12-01,52
2013-12-08,57
2013-12-15,59
2013-12-22,68
2013-12-29,85
2014-01-05,85
2014-01-12,64
2014-01-19,72
2014-01-26,69
2014-02-02,59
2014-02-09,55
2014-02-16,52
2014-02-23,50
2014-03-02,48
2014-03-09,44
2014-03-16,43
2014-03-23,43
2014-03-30,39
2014-04-06,38
2014-04-13,35
2014-04-20,35
2014-04-27,34
2014-05-04,32
2014-05-11,32
2014-05-18,31
2014-05-25,29
2014-06-01,28
2014-06-08,26
2014-06-15,26
2014-06-22,24
2014-06-29,25
2014-07-06,24
2014-07-13,24
2014-07-20,24
2014-07-27,25
2014-08-03,26
2014-08-10,27
2014-08-17,30
2014-08-24,32
2014-08-31,35
2014-09-07,43
2014-09-14,47
2014-09-21,46
2014-09-28,43
2014-10-05,47
2014-10-12,44
2014-10-19,43
2014-10-26,46
2014-11-02,50
2014-11-09,56
2014-11-16,58
2014-11-23,50
2014-11-30,55
2014-12-07,60
2014-12-14,72
2014-12-21,82
2014-12-28,98
2015-01-04,90
2015-01-11,71
2015-01-18,67
2015-01-25,65
2015-02-01,60
2015-02-08,59
2015-02-15,65
2015-02-22,57
2015-03-01,54
