Category: All categories

Week,tylenol: (United States)
2010-03-07,21
2010-03-14,19
2010-03-21,19
2010-03-28,20
2010-04-04,20
2010-04-11,20
2010-04-18,19
2010-04-25,27
2010-05-02,100
2010-05-09,41
2010-05-16,34
2010-05-23,37
2010-05-30,27
2010-06-06,22
2010-06-13,25
2010-06-20,21
2010-06-27,20
2010-07-04,28
2010-07-11,26
2010-07-18,22
2010-07-25,21
2010-08-01,19
2010-08-08,19
2010-08-15,20
2010-08-22,20
2010-08-29,20
2010-09-05,20
2010-09-12,21
2010-09-19,22
2010-09-26,21
2010-10-03,20
2010-10-10,19
2010-10-17,23
2010-10-24,20
2010-10-31,20
2010-11-07,20
2010-11-14,20
2010-11-21,21
2010-11-28,21
2010-12-05,19
2010-12-12,19
2010-12-19,21
2010-12-26,23
2011-01-02,26
2011-01-09,26
2011-01-16,27
2011-01-23,26
2011-01-30,25
2011-02-06,26
2011-02-13,24
2011-02-20,25
2011-02-27,24
2011-03-06,24
2011-03-13,23
2011-03-20,24
2011-03-27,28
2011-04-03,23
2011-04-10,22
2011-04-17,21
2011-04-24,22
2011-05-01,23
2011-05-08,24
2011-05-15,26
2011-05-22,23
2011-05-29,22
2011-06-05,20
2011-06-12,23
2011-06-19,22
2011-06-26,29
2011-07-03,24
2011-07-10,22
2011-07-17,22
2011-07-24,25
2011-07-31,23
2011-08-07,22
2011-08-14,23
2011-08-21,21
2011-08-28,20
2011-09-04,22
2011-09-11,23
2011-09-18,24
2011-09-25,25
2011-10-02,23
2011-10-09,24
2011-10-16,22
2011-10-23,24
2011-10-30,23
2011-11-06,23
2011-11-13,24
2011-11-20,25
2011-11-27,24
2011-12-04,22
2011-12-11,23
2011-12-18,23
2011-12-25,26
2012-01-01,26
2012-01-08,24
2012-01-15,24
2012-01-22,25
2012-01-29,25
2012-02-05,25
2012-02-12,29
2012-02-19,29
2012-02-26,25
2012-03-04,24
2012-03-11,24
2012-03-18,24
2012-03-25,23
2012-04-01,24
2012-04-08,25
2012-04-15,23
2012-04-22,23
2012-04-29,23
2012-05-06,23
2012-05-13,23
2012-05-20,23
2012-05-27,22
2012-06-03,23
2012-06-10,23
2012-06-17,23
2012-06-24,22
2012-07-01,22
2012-07-08,22
2012-07-15,23
2012-07-22,22
2012-07-29,23
2012-08-05,23
2012-08-12,24
2012-08-19,24
2012-08-26,25
2012-09-02,23
2012-09-09,24
2012-09-16,25
2012-09-23,25
2012-09-30,25
2012-10-07,23
2012-10-14,24
2012-10-21,24
2012-10-28,22
2012-11-04,23
2012-11-11,24
2012-11-18,24
2012-11-25,24
2012-12-02,25
2012-12-09,26
2012-12-16,26
2012-12-23,31
2012-12-30,31
2013-01-06,29
2013-01-13,29
2013-01-20,28
2013-01-27,26
2013-02-03,27
2013-02-10,25
2013-02-17,25
2013-02-24,26
2013-03-03,25
2013-03-10,25
2013-03-17,25
2013-03-24,25
2013-03-31,24
2013-04-07,24
2013-04-14,24
2013-04-21,24
2013-04-28,23
2013-05-05,22
2013-05-12,23
2013-05-19,23
2013-05-26,23
2013-06-02,22
2013-06-09,24
2013-06-16,23
2013-06-23,22
2013-06-30,23
2013-07-07,23
2013-07-14,23
2013-07-21,23
2013-07-28,23
2013-08-04,23
2013-08-11,22
2013-08-18,23
2013-08-25,25
2013-09-01,26
2013-09-08,24
2013-09-15,25
2013-09-22,28
2013-09-29,25
2013-10-06,26
2013-10-13,25
2013-10-20,25
2013-10-27,25
2013-11-03,24
2013-11-10,25
2013-11-17,25
2013-11-24,24
2013-12-01,24
2013-12-08,24
2013-12-15,25
2013-12-22,28
2013-12-29,31
2014-01-05,29
2014-01-12,30
2014-01-19,29
2014-01-26,27
2014-02-02,25
2014-02-09,24
2014-02-16,26
2014-02-23,29
2014-03-02,24
2014-03-09,25
2014-03-16,25
2014-03-23,25
2014-03-30,25
2014-04-06,25
2014-04-13,24
2014-04-20,25
2014-04-27,24
2014-05-04,23
2014-05-11,22
2014-05-18,24
2014-05-25,23
2014-06-01,23
2014-06-08,23
2014-06-15,23
2014-06-22,24
2014-06-29,22
2014-07-06,23
2014-07-13,23
2014-07-20,23
2014-07-27,23
2014-08-03,23
2014-08-10,24
2014-08-17,24
2014-08-24,24
2014-08-31,24
2014-09-07,24
2014-09-14,25
2014-09-21,25
2014-09-28,26
2014-10-05,26
2014-10-12,26
2014-10-19,26
2014-10-26,27
2014-11-02,26
2014-11-09,27
2014-11-16,26
2014-11-23,27
2014-11-30,27
2014-12-07,28
2014-12-14,30
2014-12-21,33
2014-12-28,35
2015-01-04,31
2015-01-11,30
2015-01-18,30
2015-01-25,30
2015-02-01,29
2015-02-08,29
2015-02-15,29
2015-02-22,28
2015-03-01,28
