Category: All categories

Week,pneumonia: (United States)
2010-03-07,54
2010-03-14,51
2010-03-21,47
2010-03-28,47
2010-04-04,46
2010-04-11,44
2010-04-18,42
2010-04-25,40
2010-05-02,37
2010-05-09,36
2010-05-16,37
2010-05-23,35
2010-05-30,33
2010-06-06,32
2010-06-13,32
2010-06-20,31
2010-06-27,31
2010-07-04,30
2010-07-11,30
2010-07-18,31
2010-07-25,30
2010-08-01,28
2010-08-08,29
2010-08-15,30
2010-08-22,31
2010-08-29,33
2010-09-05,35
2010-09-12,40
2010-09-19,44
2010-09-26,43
2010-10-03,46
2010-10-10,52
2010-10-17,53
2010-10-24,48
2010-10-31,49
2010-11-07,51
2010-11-14,53
2010-11-21,47
2010-11-28,56
2010-12-05,54
2010-12-12,53
2010-12-19,52
2010-12-26,57
2011-01-02,73
2011-01-09,69
2011-01-16,69
2011-01-23,78
2011-01-30,74
2011-02-06,78
2011-02-13,83
2011-02-20,82
2011-02-27,75
2011-03-06,67
2011-03-13,64
2011-03-20,62
2011-03-27,62
2011-04-03,57
2011-04-10,56
2011-04-17,49
2011-04-24,47
2011-05-01,47
2011-05-08,49
2011-05-15,45
2011-05-22,42
2011-05-29,41
2011-06-05,41
2011-06-12,41
2011-06-19,37
2011-06-26,35
2011-07-03,32
2011-07-10,33
2011-07-17,35
2011-07-24,33
2011-07-31,32
2011-08-07,32
2011-08-14,33
2011-08-21,32
2011-08-28,36
2011-09-04,39
2011-09-11,46
2011-09-18,51
2011-09-25,52
2011-10-02,54
2011-10-09,55
2011-10-16,59
2011-10-23,65
2011-10-30,63
2011-11-06,69
2011-11-13,71
2011-11-20,63
2011-11-27,71
2011-12-04,67
2011-12-11,65
2011-12-18,66
2011-12-25,70
2012-01-01,74
2012-01-08,70
2012-01-15,67
2012-01-22,69
2012-01-29,68
2012-02-05,72
2012-02-12,71
2012-02-19,73
2012-02-26,73
2012-03-04,70
2012-03-11,68
2012-03-18,65
2012-03-25,59
2012-04-01,54
2012-04-08,57
2012-04-15,53
2012-04-22,52
2012-04-29,49
2012-05-06,48
2012-05-13,47
2012-05-20,46
2012-05-27,41
2012-06-03,44
2012-06-10,42
2012-06-17,40
2012-06-24,41
2012-07-01,39
2012-07-08,41
2012-07-15,38
2012-07-22,38
2012-07-29,40
2012-08-05,37
2012-08-12,39
2012-08-19,39
2012-08-26,44
2012-09-02,48
2012-09-09,50
2012-09-16,59
2012-09-23,59
2012-09-30,59
2012-10-07,63
2012-10-14,60
2012-10-21,60
2012-10-28,60
2012-11-04,63
2012-11-11,66
2012-11-18,61
2012-11-25,71
2012-12-02,71
2012-12-09,71
2012-12-16,76
2012-12-23,91
2012-12-30,97
2013-01-06,97
2013-01-13,85
2013-01-20,82
2013-01-27,85
2013-02-03,75
2013-02-10,69
2013-02-17,69
2013-02-24,69
2013-03-03,66
2013-03-10,64
2013-03-17,63
2013-03-24,58
2013-03-31,59
2013-04-07,56
2013-04-14,53
2013-04-21,50
2013-04-28,48
2013-05-05,49
2013-05-12,47
2013-05-19,44
2013-05-26,41
2013-06-02,42
2013-06-09,41
2013-06-16,38
2013-06-23,38
2013-06-30,36
2013-07-07,37
2013-07-14,35
2013-07-21,36
2013-07-28,35
2013-08-04,36
2013-08-11,37
2013-08-18,37
2013-08-25,38
2013-09-01,41
2013-09-08,43
2013-09-15,48
2013-09-22,53
2013-09-29,53
2013-10-06,53
2013-10-13,55
2013-10-20,60
2013-10-27,63
2013-11-03,62
2013-11-10,66
2013-11-17,65
2013-11-24,58
2013-12-01,64
2013-12-08,71
2013-12-15,73
2013-12-22,82
2013-12-29,94
2014-01-05,100
2014-01-12,89
2014-01-19,82
2014-01-26,79
2014-02-02,73
2014-02-09,71
2014-02-16,69
2014-02-23,66
2014-03-02,64
2014-03-09,63
2014-03-16,61
2014-03-23,61
2014-03-30,58
2014-04-06,56
2014-04-13,58
2014-04-20,55
2014-04-27,55
2014-05-04,52
2014-05-11,51
2014-05-18,48
2014-05-25,44
2014-06-01,41
2014-06-08,42
2014-06-15,40
2014-06-22,39
2014-06-29,38
2014-07-06,36
2014-07-13,38
2014-07-20,38
2014-07-27,39
2014-08-03,35
2014-08-10,37
2014-08-17,40
2014-08-24,44
2014-08-31,46
2014-09-07,50
2014-09-14,53
2014-09-21,55
2014-09-28,62
2014-10-05,64
2014-10-12,66
2014-10-19,64
2014-10-26,64
2014-11-02,69
2014-11-09,73
2014-11-16,73
2014-11-23,66
2014-11-30,77
2014-12-07,78
2014-12-14,81
2014-12-21,92
2014-12-28,98
2015-01-04,95
2015-01-11,85
2015-01-18,80
2015-01-25,80
2015-02-01,82
2015-02-08,79
2015-02-15,78
2015-02-22,75
2015-03-01,73
