Category: All categories

Week,Influenza vaccine: (United States)
2010-03-07,3
2010-03-14,3
2010-03-21,4
2010-03-28,3
2010-04-04,3
2010-04-11,4
2010-04-18,3
2010-04-25,3
2010-05-02,2
2010-05-09,2
2010-05-16,2
2010-05-23,2
2010-05-30,2
2010-06-06,2
2010-06-13,1
2010-06-20,1
2010-06-27,1
2010-07-04,1
2010-07-11,2
2010-07-18,2
2010-07-25,2
2010-08-01,2
2010-08-08,3
2010-08-15,4
2010-08-22,6
2010-08-29,10
2010-09-05,14
2010-09-12,19
2010-09-19,23
2010-09-26,27
2010-10-03,37
2010-10-10,33
2010-10-17,33
2010-10-24,27
2010-10-31,24
2010-11-07,20
2010-11-14,17
2010-11-21,10
2010-11-28,11
2010-12-05,10
2010-12-12,8
2010-12-19,6
2010-12-26,7
2011-01-02,8
2011-01-09,7
2011-01-16,6
2011-01-23,6
2011-01-30,5
2011-02-06,5
2011-02-13,4
2011-02-20,4
2011-02-27,3
2011-03-06,3
2011-03-13,2
2011-03-20,2
2011-03-27,2
2011-04-03,2
2011-04-10,2
2011-04-17,2
2011-04-24,2
2011-05-01,1
2011-05-08,1
2011-05-15,1
2011-05-22,1
2011-05-29,1
2011-06-05,1
2011-06-12,1
2011-06-19,1
2011-06-26,1
2011-07-03,1
2011-07-10,1
2011-07-17,1
2011-07-24,2
2011-07-31,2
2011-08-07,3
2011-08-14,4
2011-08-21,5
2011-08-28,8
2011-09-04,12
2011-09-11,19
2011-09-18,24
2011-09-25,27
2011-10-02,35
2011-10-09,35
2011-10-16,32
2011-10-23,30
2011-10-30,21
2011-11-06,18
2011-11-13,15
2011-11-20,10
2011-11-27,11
2011-12-04,9
2011-12-11,8
2011-12-18,6
2011-12-25,5
2012-01-01,6
2012-01-08,6
2012-01-15,5
2012-01-22,5
2012-01-29,4
2012-02-05,3
2012-02-12,3
2012-02-19,3
2012-02-26,3
2012-03-04,3
2012-03-11,3
2012-03-18,3
2012-03-25,2
2012-04-01,1
2012-04-08,2
2012-04-15,1
2012-04-22,2
2012-04-29,1
2012-05-06,1
2012-05-13,1
2012-05-20,1
2012-05-27,1
2012-06-03,1
2012-06-10,1
2012-06-17,1
2012-06-24,1
2012-07-01,1
2012-07-08,1
2012-07-15,1
2012-07-22,1
2012-07-29,2
2012-08-05,3
2012-08-12,4
2012-08-19,6
2012-08-26,7
2012-09-02,10
2012-09-09,17
2012-09-16,22
2012-09-23,28
2012-09-30,35
2012-10-07,35
2012-10-14,31
2012-10-21,28
2012-10-28,20
2012-11-04,18
2012-11-11,18
2012-11-18,12
2012-11-25,14
2012-12-02,24
2012-12-09,18
2012-12-16,13
2012-12-23,11
2012-12-30,20
2013-01-06,100
2013-01-13,70
2013-01-20,24
2013-01-27,12
2013-02-03,8
2013-02-10,5
2013-02-17,5
2013-02-24,4
2013-03-03,3
2013-03-10,3
2013-03-17,3
2013-03-24,2
2013-03-31,2
2013-04-07,2
2013-04-14,2
2013-04-21,2
2013-04-28,2
2013-05-05,2
2013-05-12,2
2013-05-19,2
2013-05-26,1
2013-06-02,1
2013-06-09,2
2013-06-16,2
2013-06-23,1
2013-06-30,1
2013-07-07,1
2013-07-14,1
2013-07-21,2
2013-07-28,2
2013-08-04,2
2013-08-11,3
2013-08-18,4
2013-08-25,6
2013-09-01,12
2013-09-08,18
2013-09-15,25
2013-09-22,34
2013-09-29,42
2013-10-06,42
2013-10-13,39
2013-10-20,37
2013-10-27,31
2013-11-03,27
2013-11-10,22
2013-11-17,18
2013-11-24,14
2013-12-01,12
2013-12-08,12
2013-12-15,12
2013-12-22,12
2013-12-29,24
2014-01-05,42
2014-01-12,34
2014-01-19,22
2014-01-26,15
2014-02-02,9
2014-02-09,7
2014-02-16,5
2014-02-23,5
2014-03-02,4
2014-03-09,3
2014-03-16,3
2014-03-23,3
2014-03-30,3
2014-04-06,3
2014-04-13,2
2014-04-20,2
2014-04-27,2
2014-05-04,2
2014-05-11,2
2014-05-18,2
2014-05-25,1
2014-06-01,2
2014-06-08,2
2014-06-15,1
2014-06-22,1
2014-06-29,1
2014-07-06,2
2014-07-13,1
2014-07-20,2
2014-07-27,2
2014-08-03,3
2014-08-10,3
2014-08-17,5
2014-08-24,7
2014-08-31,10
2014-09-07,17
2014-09-14,24
2014-09-21,33
2014-09-28,41
2014-10-05,51
2014-10-12,55
2014-10-19,50
2014-10-26,36
2014-11-02,32
2014-11-09,24
2014-11-16,20
2014-11-23,13
2014-11-30,19
2014-12-07,18
2014-12-14,14
2014-12-21,11
2014-12-28,13
2015-01-04,13
2015-01-11,11
2015-01-18,7
2015-01-25,7
2015-02-01,6
2015-02-08,5
2015-02-15,4
2015-02-22,4
2015-03-01,4
