Category: All categories

Week,chills: (United States)
2010-03-07,35
2010-03-14,36
2010-03-21,39
2010-03-28,32
2010-04-04,34
2010-04-11,28
2010-04-18,42
2010-04-25,34
2010-05-02,33
2010-05-09,31
2010-05-16,30
2010-05-23,29
2010-05-30,26
2010-06-06,28
2010-06-13,28
2010-06-20,33
2010-06-27,33
2010-07-04,35
2010-07-11,33
2010-07-18,37
2010-07-25,31
2010-08-01,32
2010-08-08,34
2010-08-15,37
2010-08-22,35
2010-08-29,32
2010-09-05,38
2010-09-12,38
2010-09-19,31
2010-09-26,34
2010-10-03,37
2010-10-10,36
2010-10-17,35
2010-10-24,37
2010-10-31,32
2010-11-07,39
2010-11-14,37
2010-11-21,29
2010-11-28,38
2010-12-05,36
2010-12-12,46
2010-12-19,42
2010-12-26,49
2011-01-02,60
2011-01-09,58
2011-01-16,55
2011-01-23,57
2011-01-30,59
2011-02-06,60
2011-02-13,68
2011-02-20,57
2011-02-27,61
2011-03-06,65
2011-03-13,52
2011-03-20,51
2011-03-27,54
2011-04-03,51
2011-04-10,45
2011-04-17,48
2011-04-24,46
2011-05-01,49
2011-05-08,55
2011-05-15,48
2011-05-22,40
2011-05-29,55
2011-06-05,44
2011-06-12,52
2011-06-19,45
2011-06-26,41
2011-07-03,40
2011-07-10,45
2011-07-17,43
2011-07-24,41
2011-07-31,38
2011-08-07,44
2011-08-14,45
2011-08-21,47
2011-08-28,45
2011-09-04,48
2011-09-11,45
2011-09-18,41
2011-09-25,43
2011-10-02,46
2011-10-09,50
2011-10-16,49
2011-10-23,45
2011-10-30,46
2011-11-06,47
2011-11-13,50
2011-11-20,49
2011-11-27,49
2011-12-04,47
2011-12-11,51
2011-12-18,52
2011-12-25,60
2012-01-01,57
2012-01-08,54
2012-01-15,54
2012-01-22,54
2012-01-29,61
2012-02-05,58
2012-02-12,59
2012-02-19,65
2012-02-26,60
2012-03-04,62
2012-03-11,53
2012-03-18,58
2012-03-25,59
2012-04-01,57
2012-04-08,61
2012-04-15,55
2012-04-22,56
2012-04-29,53
2012-05-06,54
2012-05-13,55
2012-05-20,51
2012-05-27,60
2012-06-03,55
2012-06-10,51
2012-06-17,55
2012-06-24,49
2012-07-01,50
2012-07-08,49
2012-07-15,52
2012-07-22,47
2012-07-29,51
2012-08-05,47
2012-08-12,54
2012-08-19,55
2012-08-26,52
2012-09-02,53
2012-09-09,51
2012-09-16,48
2012-09-23,55
2012-09-30,53
2012-10-07,53
2012-10-14,51
2012-10-21,54
2012-10-28,50
2012-11-04,52
2012-11-11,57
2012-11-18,56
2012-11-25,65
2012-12-02,61
2012-12-09,60
2012-12-16,67
2012-12-23,81
2012-12-30,89
2013-01-06,82
2013-01-13,73
2013-01-20,81
2013-01-27,72
2013-02-03,78
2013-02-10,78
2013-02-17,73
2013-02-24,71
2013-03-03,71
2013-03-10,76
2013-03-17,73
2013-03-24,77
2013-03-31,68
2013-04-07,62
2013-04-14,58
2013-04-21,62
2013-04-28,60
2013-05-05,58
2013-05-12,57
2013-05-19,48
2013-05-26,52
2013-06-02,54
2013-06-09,55
2013-06-16,59
2013-06-23,50
2013-06-30,52
2013-07-07,53
2013-07-14,51
2013-07-21,56
2013-07-28,53
2013-08-04,51
2013-08-11,52
2013-08-18,50
2013-08-25,48
2013-09-01,52
2013-09-08,54
2013-09-15,52
2013-09-22,59
2013-09-29,51
2013-10-06,52
2013-10-13,54
2013-10-20,56
2013-10-27,56
2013-11-03,53
2013-11-10,58
2013-11-17,59
2013-11-24,55
2013-12-01,60
2013-12-08,59
2013-12-15,71
2013-12-22,86
2013-12-29,94
2014-01-05,88
2014-01-12,84
2014-01-19,76
2014-01-26,75
2014-02-02,76
2014-02-09,67
2014-02-16,71
2014-02-23,71
2014-03-02,68
2014-03-09,70
2014-03-16,67
2014-03-23,71
2014-03-30,70
2014-04-06,69
2014-04-13,66
2014-04-20,69
2014-04-27,62
2014-05-04,64
2014-05-11,62
2014-05-18,61
2014-05-25,60
2014-06-01,56
2014-06-08,56
2014-06-15,60
2014-06-22,56
2014-06-29,56
2014-07-06,55
2014-07-13,56
2014-07-20,56
2014-07-27,57
2014-08-03,54
2014-08-10,58
2014-08-17,54
2014-08-24,56
2014-08-31,54
2014-09-07,52
2014-09-14,54
2014-09-21,50
2014-09-28,58
2014-10-05,52
2014-10-12,61
2014-10-19,54
2014-10-26,56
2014-11-02,56
2014-11-09,60
2014-11-16,64
2014-11-23,66
2014-11-30,65
2014-12-07,70
2014-12-14,81
2014-12-21,92
2014-12-28,100
2015-01-04,80
2015-01-11,82
2015-01-18,87
2015-01-25,78
2015-02-01,76
2015-02-08,76
2015-02-15,81
2015-02-22,81
2015-03-01,80
