Category: All categories

Week,flu symptoms: (United States)
2010-03-07,11
2010-03-14,10
2010-03-21,8
2010-03-28,8
2010-04-04,7
2010-04-11,6
2010-04-18,6
2010-04-25,5
2010-05-02,5
2010-05-09,5
2010-05-16,5
2010-05-23,4
2010-05-30,5
2010-06-06,4
2010-06-13,4
2010-06-20,3
2010-06-27,3
2010-07-04,4
2010-07-11,3
2010-07-18,3
2010-07-25,3
2010-08-01,4
2010-08-08,4
2010-08-15,4
2010-08-22,4
2010-08-29,4
2010-09-05,5
2010-09-12,7
2010-09-19,7
2010-09-26,8
2010-10-03,9
2010-10-10,9
2010-10-17,9
2010-10-24,9
2010-10-31,10
2010-11-07,9
2010-11-14,10
2010-11-21,9
2010-11-28,11
2010-12-05,12
2010-12-12,11
2010-12-19,13
2010-12-26,17
2011-01-02,19
2011-01-09,17
2011-01-16,19
2011-01-23,23
2011-01-30,21
2011-02-06,23
2011-02-13,25
2011-02-20,20
2011-02-27,16
2011-03-06,14
2011-03-13,11
2011-03-20,10
2011-03-27,10
2011-04-03,8
2011-04-10,6
2011-04-17,6
2011-04-24,6
2011-05-01,5
2011-05-08,5
2011-05-15,5
2011-05-22,5
2011-05-29,5
2011-06-05,5
2011-06-12,4
2011-06-19,4
2011-06-26,4
2011-07-03,4
2011-07-10,3
2011-07-17,4
2011-07-24,3
2011-07-31,3
2011-08-07,3
2011-08-14,4
2011-08-21,4
2011-08-28,5
2011-09-04,6
2011-09-11,7
2011-09-18,9
2011-09-25,9
2011-10-02,11
2011-10-09,10
2011-10-16,12
2011-10-23,11
2011-10-30,11
2011-11-06,11
2011-11-13,12
2011-11-20,10
2011-11-27,12
2011-12-04,12
2011-12-11,12
2011-12-18,12
2011-12-25,15
2012-01-01,14
2012-01-08,12
2012-01-15,12
2012-01-22,12
2012-01-29,12
2012-02-05,13
2012-02-12,14
2012-02-19,14
2012-02-26,13
2012-03-04,14
2012-03-11,13
2012-03-18,11
2012-03-25,9
2012-04-01,8
2012-04-08,9
2012-04-15,7
2012-04-22,7
2012-04-29,6
2012-05-06,6
2012-05-13,7
2012-05-20,6
2012-05-27,6
2012-06-03,5
2012-06-10,5
2012-06-17,4
2012-06-24,4
2012-07-01,4
2012-07-08,4
2012-07-15,4
2012-07-22,5
2012-07-29,5
2012-08-05,6
2012-08-12,6
2012-08-19,7
2012-08-26,8
2012-09-02,8
2012-09-09,9
2012-09-16,10
2012-09-23,10
2012-09-30,11
2012-10-07,12
2012-10-14,13
2012-10-21,13
2012-10-28,12
2012-11-04,12
2012-11-11,14
2012-11-18,14
2012-11-25,18
2012-12-02,25
2012-12-09,27
2012-12-16,31
2012-12-23,38
2012-12-30,44
2013-01-06,100
2013-01-13,97
2013-01-20,62
2013-01-27,45
2013-02-03,34
2013-02-10,24
2013-02-17,23
2013-02-24,19
2013-03-03,18
2013-03-10,16
2013-03-17,15
2013-03-24,13
2013-03-31,12
2013-04-07,10
2013-04-14,8
2013-04-21,8
2013-04-28,7
2013-05-05,6
2013-05-12,6
2013-05-19,5
2013-05-26,5
2013-06-02,4
2013-06-09,4
2013-06-16,4
2013-06-23,4
2013-06-30,4
2013-07-07,4
2013-07-14,4
2013-07-21,4
2013-07-28,5
2013-08-04,4
2013-08-11,4
2013-08-18,4
2013-08-25,5
2013-09-01,6
2013-09-08,7
2013-09-15,8
2013-09-22,9
2013-09-29,10
2013-10-06,10
2013-10-13,11
2013-10-20,12
2013-10-27,12
2013-11-03,12
2013-11-10,13
2013-11-17,12
2013-11-24,12
2013-12-01,15
2013-12-08,16
2013-12-15,22
2013-12-22,33
2013-12-29,40
2014-01-05,46
2014-01-12,44
2014-01-19,38
2014-01-26,31
2014-02-02,24
2014-02-09,18
2014-02-16,17
2014-02-23,15
2014-03-02,13
2014-03-09,11
2014-03-16,11
2014-03-23,11
2014-03-30,10
2014-04-06,10
2014-04-13,8
2014-04-20,9
2014-04-27,8
2014-05-04,7
2014-05-11,6
2014-05-18,6
2014-05-25,5
2014-06-01,5
2014-06-08,5
2014-06-15,4
2014-06-22,4
2014-06-29,4
2014-07-06,4
2014-07-13,3
2014-07-20,4
2014-07-27,4
2014-08-03,4
2014-08-10,4
2014-08-17,4
2014-08-24,5
2014-08-31,5
2014-09-07,6
2014-09-14,8
2014-09-21,8
2014-09-28,10
2014-10-05,13
2014-10-12,15
2014-10-19,14
2014-10-26,12
2014-11-02,13
2014-11-09,13
2014-11-16,14
2014-11-23,14
2014-11-30,20
2014-12-07,25
2014-12-14,40
2014-12-21,52
2014-12-28,56
2015-01-04,48
2015-01-11,41
2015-01-18,38
2015-01-25,32
2015-02-01,27
2015-02-08,24
2015-02-15,22
2015-02-22,19
2015-03-01,18
