Week,Cough: (United States),WEEK
2/7/10,41,6
2/14/10,42,7
2/21/10,44,8
2/28/10,43,9
3/7/10,44,10
3/14/10,40,11
3/21/10,38,12
3/28/10,38,13
4/4/10,37,14
4/11/10,37,15
4/18/10,36,16
4/25/10,36,17
5/2/10,37,18
5/9/10,37,19
5/16/10,36,20
5/23/10,34,21
5/30/10,34,22
6/6/10,33,23
6/13/10,31,24
6/20/10,44,25
6/27/10,35,26
7/4/10,35,27
7/11/10,34,28
7/18/10,37,29
7/25/10,36,30
8/1/10,34,31
8/8/10,34,32
8/15/10,38,33
8/22/10,37,34
8/29/10,37,35
9/5/10,40,36
9/12/10,46,37
9/19/10,47,38
9/26/10,42,39
10/3/10,44,40
10/10/10,45,41
10/17/10,50,42
10/24/10,50,43
10/31/10,48,44
11/7/10,52,45
11/14/10,53,46
11/21/10,51,47
11/28/10,52,48
12/5/10,53,49
12/12/10,52,50
12/19/10,58,51
12/26/10,61,52
1/2/11,63,1
1/9/11,57,2
1/16/11,60,3
1/23/11,62,4
1/30/11,62,5
2/6/11,65,6
2/13/11,66,7
2/20/11,64,8
2/27/11,60,9
3/6/11,57,10
3/13/11,55,11
3/20/11,54,12
3/27/11,51,13
4/3/11,50,14
4/10/11,49,15
4/17/11,48,16
4/24/11,46,17
5/1/11,45,18
5/8/11,46,19
5/15/11,44,20
5/22/11,43,21
5/29/11,44,22
6/5/11,41,23
6/12/11,40,24
6/19/11,38,25
6/26/11,37,26
7/3/11,35,27
7/10/11,34,28
7/17/11,32,29
7/24/11,33,30
7/31/11,33,31
8/7/11,34,32
8/14/11,34,33
8/21/11,36,34
8/28/11,36,35
9/4/11,37,36
9/11/11,41,37
9/18/11,54,38
9/25/11,50,39
10/2/11,49,40
10/9/11,50,41
10/16/11,51,42
10/23/11,53,43
10/30/11,56,44
11/6/11,59,45
11/13/11,57,46
11/20/11,57,47
11/27/11,60,48
12/4/11,57,49
12/11/11,57,50
12/18/11,59,51
12/25/11,65,52
1/1/12,65,1
1/8/12,60,2
1/15/12,58,3
1/22/12,59,4
1/29/12,62,5
2/5/12,62,6
2/12/12,60,7
2/19/12,68,8
2/26/12,62,9
3/4/12,58,10
3/11/12,57,11
3/18/12,55,12
3/25/12,52,13
4/1/12,56,14
4/8/12,57,15
4/15/12,55,16
4/22/12,53,17
4/29/12,56,18
5/6/12,55,19
5/13/12,57,20
5/20/12,54,21
5/27/12,50,22
6/3/12,48,23
6/10/12,47,24
6/17/12,43,25
6/24/12,43,26
7/1/12,42,27
7/8/12,42,28
7/15/12,52,29
7/22/12,53,30
7/29/12,47,31
8/5/12,44,32
8/12/12,44,33
8/19/12,46,34
8/26/12,49,35
9/2/12,52,36
9/9/12,55,37
9/16/12,57,38
9/23/12,56,39
9/30/12,59,40
10/7/12,59,41
10/14/12,58,42
10/21/12,60,43
10/28/12,58,44
11/4/12,60,45
11/11/12,93,46
11/18/12,71,47
11/25/12,72,48
12/2/12,72,49
12/9/12,71,50
12/16/12,80,51
12/23/12,96,52
12/30/12,100,1
1/6/13,95,2
1/13/13,82,3
1/20/13,82,4
1/27/13,79,5
2/3/13,75,6
2/10/13,71,7
2/17/13,69,8
2/24/13,67,9
3/3/13,66,10
3/10/13,66,11
3/17/13,65,12
3/24/13,64,13
3/31/13,59,14
4/7/13,56,15
4/14/13,52,16
4/21/13,53,17
4/28/13,53,18
5/5/13,53,19
5/12/13,53,20
5/19/13,50,21
5/26/13,52,22
6/2/13,49,23
6/9/13,46,24
6/16/13,45,25
6/23/13,42,26
6/30/13,41,27
7/7/13,42,28
7/14/13,40,29
7/21/13,41,30
7/28/13,41,31
8/4/13,41,32
8/11/13,40,33
8/18/13,44,34
8/25/13,42,35
9/1/13,49,36
9/8/13,50,37
9/15/13,52,38
9/22/13,59,39
9/29/13,57,40
10/6/13,58,41
10/13/13,57,42
10/20/13,60,43
10/27/13,62,44
11/3/13,67,45
11/10/13,70,46
11/17/13,68,47
11/24/13,68,48
12/1/13,68,49
12/8/13,67,50
12/15/13,74,51
12/22/13,91,52
12/29/13,96,1
1/5/14,60,2
1/12/14,55,3
1/19/14,54,4
1/26/14,52,5
2/2/14,48,6
2/9/14,45,7
2/16/14,46,8
2/23/14,45,9
3/2/14,43,10
3/9/14,42,11
3/16/14,44,12
3/23/14,43,13
3/30/14,42,14
4/6/14,43,15
4/13/14,42,16
4/20/14,42,17
4/27/14,40,18
5/4/14,39,19
5/11/14,39,20
5/18/14,40,21
