Week,Oseltamivir: (United States),WEEK
2/7/10,1,6
2/14/10,2,7
2/21/10,2,8
2/28/10,2,9
3/7/10,1,10
3/14/10,1,11
3/21/10,1,12
3/28/10,1,13
4/4/10,1,14
4/11/10,1,15
4/18/10,1,16
4/25/10,1,17
5/2/10,1,18
5/9/10,<1,19
5/16/10,1,20
5/23/10,<1,21
5/30/10,<1,22
6/6/10,1,23
6/13/10,<1,24
6/20/10,<1,25
6/27/10,<1,26
7/4/10,<1,27
7/11/10,<1,28
7/18/10,1,29
7/25/10,<1,30
8/1/10,<1,31
8/8/10,<1,32
8/15/10,<1,33
8/22/10,<1,34
8/29/10,<1,35
9/5/10,1,36
9/12/10,1,37
9/19/10,1,38
9/26/10,1,39
10/3/10,1,40
10/10/10,1,41
10/17/10,1,42
10/24/10,1,43
10/31/10,1,44
11/7/10,1,45
11/14/10,1,46
11/21/10,1,47
11/28/10,1,48
12/5/10,1,49
12/12/10,2,50
12/19/10,3,51
12/26/10,3,52
1/2/11,3,1
1/9/11,4,2
1/16/11,5,3
1/23/11,6,4
1/30/11,6,5
2/6/11,7,6
2/13/11,7,7
2/20/11,7,8
2/27/11,5,9
3/6/11,4,10
3/13/11,3,11
3/20/11,2,12
3/27/11,2,13
4/3/11,1,14
4/10/11,1,15
4/17/11,1,16
4/24/11,1,17
5/1/11,1,18
5/8/11,1,19
5/15/11,1,20
5/22/11,1,21
5/29/11,<1,22
6/5/11,<1,23
6/12/11,<1,24
6/19/11,<1,25
6/26/11,<1,26
7/3/11,<1,27
7/10/11,<1,28
7/17/11,<1,29
7/24/11,<1,30
7/31/11,<1,31
8/7/11,<1,32
8/14/11,<1,33
8/21/11,<1,34
8/28/11,<1,35
9/4/11,1,36
9/11/11,<1,37
9/18/11,1,38
9/25/11,1,39
10/2/11,1,40
10/9/11,1,41
10/16/11,1,42
10/23/11,1,43
10/30/11,1,44
11/6/11,1,45
11/13/11,1,46
11/20/11,1,47
11/27/11,1,48
12/4/11,1,49
12/11/11,1,50
12/18/11,1,51
12/25/11,1,52
1/1/12,1,1
1/8/12,1,2
1/15/12,1,3
1/22/12,1,4
1/29/12,1,5
2/5/12,1,6
2/12/12,2,7
2/19/12,2,8
2/26/12,2,9
3/4/12,3,10
3/11/12,3,11
3/18/12,2,12
3/25/12,2,13
4/1/12,1,14
4/8/12,1,15
4/15/12,1,16
4/22/12,1,17
4/29/12,1,18
5/6/12,1,19
5/13/12,1,20
5/20/12,1,21
5/27/12,<1,22
6/3/12,1,23
6/10/12,1,24
6/17/12,<1,25
6/24/12,<1,26
7/1/12,<1,27
7/8/12,<1,28
7/15/12,<1,29
7/22/12,<1,30
7/29/12,<1,31
8/5/12,<1,32
8/12/12,<1,33
8/19/12,<1,34
8/26/12,<1,35
9/2/12,1,36
9/9/12,1,37
9/16/12,1,38
9/23/12,1,39
9/30/12,1,40
10/7/12,1,41
10/14/12,1,42
10/21/12,1,43
10/28/12,1,44
11/4/12,1,45
11/11/12,2,46
11/18/12,3,47
11/25/12,3,48
12/2/12,5,49
12/9/12,7,50
12/16/12,11,51
12/23/12,14,52
12/30/12,13,1
1/6/13,26,2
1/13/13,22,3
1/20/13,16,4
1/27/13,12,5
2/3/13,9,6
2/10/13,7,7
2/17/13,6,8
2/24/13,5,9
3/3/13,5,10
3/10/13,5,11
3/17/13,4,12
3/24/13,3,13
3/31/13,3,14
4/7/13,2,15
4/14/13,2,16
4/21/13,1,17
4/28/13,1,18
5/5/13,1,19
5/12/13,1,20
5/19/13,1,21
5/26/13,1,22
6/2/13,<1,23
6/9/13,1,24
6/16/13,<1,25
6/23/13,<1,26
6/30/13,<1,27
7/7/13,<1,28
7/14/13,<1,29
7/21/13,<1,30
7/28/13,<1,31
8/4/13,<1,32
8/11/13,<1,33
8/18/13,1,34
8/25/13,<1,35
9/1/13,1,36
9/8/13,1,37
9/15/13,1,38
9/22/13,1,39
9/29/13,1,40
10/6/13,1,41
10/13/13,1,42
10/20/13,1,43
10/27/13,1,44
11/3/13,2,45
11/10/13,2,46
11/17/13,2,47
11/24/13,2,48
12/1/13,3,49
12/8/13,4,50
12/15/13,8,51
12/22/13,11,52
12/29/13,12,1
1/5/14,19,2
1/12/14,19,3
1/19/14,16,4
1/26/14,13,5
2/2/14,9,6
2/9/14,7,7
2/16/14,6,8
2/23/14,5,9
3/2/14,4,10
3/9/14,3,11
3/16/14,3,12
3/23/14,3,13
3/30/14,3,14
4/6/14,4,15
4/13/14,3,16
4/20/14,3,17
4/27/14,2,18
5/4/14,2,19
5/11/14,2,20
5/18/14,1,21
5/25/14,1,22
6/1/14,1,23
6/8/14,1,24
6/15/14,1,25
6/22/14,1,26
6/29/14,1,27
7/6/14,1,28
7/13/14,1,29
7/20/14,<1,30
7/27/14,<1,31
8/3/14,1,32
8/10/14,1,33
8/17/14,1,34
8/24/14,1,35
8/31/14,1,36
9/7/14,1,37
9/14/14,1,38
9/21/14,1,39
9/28/14,1,40
10/5/14,1,41
10/12/14,2,42
10/19/14,2,43
10/26/14,2,44
11/2/14,2,45
11/9/14,3,46
11/16/14,4,47
11/23/14,6,48
11/30/14,9,49
12/7/14,15,50
12/14/14,28,51
12/21/14,38,52
12/28/14,33,53
1/4/15,27,1
1/11/15,26,2
1/18/15,25,3
1/25/15,20,4
2/1/15,16,5
2/8/15,12,6
2/15/15,9,7
2/22/15,8,8
3/1/15,7,9
3/8/15,7,10
3/15/15,6,11
3/22/15,4,12
3/29/15,4,13
4/5/15,4,14
4/12/15,3,15
4/19/15,2,16
4/26/15,2,17
5/3/15,1,18
5/10/15,1,19
5/17/15,1,20
5/24/15,1,21
5/31/15,1,22
6/7/15,1,23
6/14/15,1,24
6/21/15,1,25
6/28/15,1,26
7/5/15,1,27
7/12/15,1,28
7/19/15,1,29
7/26/15,1,30
8/2/15,1,31
8/9/15,1,32
8/16/15,1,33
8/23/15,<1,34
8/30/15,1,35
9/6/15,1,36
9/13/15,1,37
9/20/15,1,38
9/27/15,1,39
10/4/15,2,40
10/11/15,2,41
10/18/15,1,42
10/25/15,2,43
11/1/15,2,44
11/8/15,2,45
11/15/15,2,46
11/22/15,2,47
11/29/15,3,48
