,index,influenza st pop,influenza dis pop,cc dis pop,flu st pop,flu symp st pop,influenza vaccine vacc pop,prevent flu st pop,YEAR,WEEK,Total Cases
648,2017-08-13,0.8572458333333333,2.3214286597938143,25.714320987654318,0.2381041666666667,0.0,4.4444897959183685,0.8571454545454547,2017.0,33.0,102.0
649,2017-08-20,0.8572458333333333,2.3214286597938143,41.142913580246905,0.4762083333333333,0.0,8.00008163265306,0.8571454545454547,2017.0,34.0,117.0
650,2017-08-27,1.7144916666666663,3.4821429896907214,56.571506172839506,0.7143125,0.3636484536082474,10.666775510204081,1.7142909090909093,2017.0,35.0,182.0
651,2017-09-03,1.7144916666666663,5.803571649484537,82.28582716049381,0.9524166666666668,0.7272969072164948,14.222367346938775,1.7142909090909093,2017.0,36.0,196.0
652,2017-09-10,2.5717375,9.285714639175255,87.42869135802471,1.6667291666666668,0.7272969072164948,24.00024489795918,3.4285818181818186,2017.0,37.0,220.0
653,2017-09-17,3.428983333333333,11.607143298969074,97.71441975308643,2.1429375,1.090945360824742,32.00032653061224,5.142872727272726,2017.0,38.0,212.0
654,2017-09-24,4.714852083333333,15.089286288659794,97.71441975308643,2.85725,1.4545938144329895,42.667102040816324,4.2857272727272715,2017.0,39.0,232.0
655,2017-10-01,3.85760625,17.41071494845361,87.42869135802471,3.3334583333333336,1.4545938144329895,50.66718367346938,4.2857272727272715,2017.0,40.0,342.0
656,2017-10-08,3.428983333333333,17.41071494845361,87.42869135802471,3.3334583333333336,1.4545938144329895,48.88938775510204,4.2857272727272715,2017.0,41.0,346.0
657,2017-10-15,4.286229166666667,17.41071494845361,102.85728395061727,3.3334583333333336,1.8182422680412367,47.1115918367347,6.000018181818183,2017.0,42.0,388.0
658,2017-10-22,4.286229166666667,16.2500006185567,113.143012345679,3.3334583333333336,2.1818907216494843,42.667102040816324,5.142872727272726,2017.0,43.0,475.0
659,2017-10-29,3.85760625,15.089286288659794,123.42874074074074,2.85725,2.1818907216494843,36.444816326530606,5.142872727272726,2017.0,44.0,722.0
660,2017-11-05,4.286229166666667,13.928571958762886,144.00019753086426,2.85725,2.1818907216494843,32.00032653061224,5.142872727272726,2017.0,45.0,929.0
661,2017-11-12,4.714852083333333,13.928571958762886,159.42879012345682,2.85725,2.9091876288659786,26.6669387755102,5.142872727272726,2017.0,46.0,1261.0
662,2017-11-19,3.000360416666666,11.607143298969074,154.2859259259259,2.381041666666667,2.545539175257732,17.777959183673467,6.000018181818183,2017.0,47.0,1689.0
663,2017-11-26,5.5720979166666655,13.928571958762886,180.00024691358024,2.85725,3.6364845360824734,20.44465306122449,6.857163636363637,2017.0,48.0,1988.0
664,2017-12-03,6.857966666666666,17.41071494845361,190.285975308642,3.5715625,4.000132989690721,24.889142857142854,12.000036363636365,2017.0,49.0,3306.0
665,2017-12-10,8.143835416666665,19.732143608247426,221.14316049382717,4.047770833333334,5.454726804123712,17.777959183673467,12.857181818181818,2017.0,50.0,5404.0
666,2017-12-17,12.858687499999998,29.01785824742268,252.0003456790124,5.952604166666667,8.727562886597937,16.00016326530612,20.571490909090905,2017.0,51.0,10935.0
667,2017-12-24,17.573539583333332,39.46428721649485,370.2862222222222,8.095541666666668,12.364047422680411,16.00016326530612,27.42865454545455,2017.0,52.0,14094.0
