,index,YEAR,WEEK,Total Cases,index,influenza st,Influenza dis,Common Cold dis,flu st,flu symptoms st,Influenza Vaccine vacc,prevent flu st,Hand sanitizer topic,Oseltamivir med,Oseltamivir st,tamiflu st,pneumonia st,Fever medcond,tylenol st,chills st,Nasal Congestion syndrome,Cough topic,Cold medicine topic,Antibiotics drugtype,Antimicrobial resistance topic,Ibuprofen med,immunity st,Immunity topic,Swine influenza topic,flu medicine st
15,18,2005.0,29.0,3.0,15,2.0,2.0,33.0,0.0,1.0,1.0,0.0,7.0,2.0,0.0,1.0,30.0,36.0,20.0,39.0,29.0,35.0,19.0,63.0,11.0,51.0,64.0,34.0,0.0,0.0
16,19,2005.0,30.0,2.0,16,2.0,2.0,34.0,0.0,1.0,1.0,0.0,7.0,1.0,0.0,1.0,29.0,45.0,19.0,48.0,30.0,34.0,28.0,63.0,5.0,54.0,42.0,35.0,0.0,5.0
17,20,2005.0,31.0,0.0,17,2.0,2.0,28.0,0.0,1.0,0.0,0.0,6.0,1.0,4.0,1.0,33.0,44.0,17.0,50.0,28.0,31.0,23.0,68.0,7.0,46.0,47.0,40.0,0.0,7.0
18,21,2005.0,32.0,4.0,18,3.0,2.0,26.0,1.0,1.0,1.0,3.0,7.0,1.0,2.0,2.0,29.0,43.0,23.0,45.0,28.0,33.0,21.0,52.0,8.0,51.0,52.0,35.0,0.0,0.0
19,22,2005.0,33.0,6.0,19,2.0,2.0,31.0,1.0,1.0,1.0,3.0,7.0,1.0,2.0,1.0,33.0,41.0,20.0,50.0,29.0,34.0,23.0,60.0,5.0,55.0,47.0,32.0,0.0,5.0
20,23,2005.0,34.0,4.0,20,2.0,2.0,33.0,1.0,1.0,1.0,0.0,7.0,2.0,3.0,2.0,33.0,43.0,18.0,36.0,36.0,37.0,30.0,59.0,4.0,44.0,53.0,34.0,0.0,0.0
21,24,2005.0,35.0,6.0,21,2.0,2.0,33.0,1.0,1.0,1.0,3.0,7.0,1.0,2.0,1.0,32.0,42.0,22.0,51.0,31.0,36.0,24.0,65.0,8.0,58.0,30.0,34.0,0.0,5.0
22,25,2005.0,36.0,1.0,22,2.0,2.0,30.0,1.0,0.0,1.0,0.0,5.0,1.0,3.0,1.0,28.0,41.0,26.0,40.0,41.0,40.0,31.0,57.0,6.0,53.0,40.0,38.0,0.0,5.0
23,26,2005.0,37.0,5.0,23,3.0,2.0,36.0,1.0,1.0,1.0,0.0,12.0,3.0,3.0,3.0,31.0,50.0,22.0,51.0,31.0,36.0,29.0,64.0,5.0,53.0,40.0,36.0,0.0,5.0
24,27,2005.0,38.0,2.0,24,3.0,2.0,35.0,1.0,1.0,2.0,0.0,11.0,2.0,3.0,2.0,34.0,43.0,23.0,50.0,39.0,38.0,27.0,51.0,5.0,55.0,45.0,35.0,0.0,9.0
25,28,2005.0,39.0,7.0,25,3.0,3.0,47.0,1.0,1.0,2.0,3.0,9.0,1.0,0.0,1.0,33.0,45.0,21.0,29.0,47.0,40.0,38.0,63.0,8.0,49.0,48.0,32.0,0.0,0.0
26,29,2005.0,40.0,11.0,26,5.0,4.0,43.0,1.0,1.0,4.0,2.0,10.0,18.0,5.0,22.0,41.0,44.0,22.0,39.0,30.0,36.0,28.0,58.0,8.0,49.0,51.0,35.0,0.0,6.0
27,30,2005.0,41.0,12.0,27,5.0,6.0,49.0,2.0,1.0,5.0,5.0,12.0,15.0,4.0,17.0,38.0,47.0,25.0,36.0,44.0,45.0,31.0,59.0,8.0,48.0,52.0,42.0,0.0,13.0
28,31,2005.0,42.0,25.0,28,7.0,8.0,49.0,3.0,2.0,11.0,5.0,6.0,12.0,5.0,13.0,44.0,43.0,21.0,24.0,39.0,45.0,33.0,67.0,13.0,57.0,50.0,45.0,0.0,8.0
29,32,2005.0,43.0,14.0,29,10.0,16.0,49.0,7.0,2.0,23.0,5.0,10.0,21.0,7.0,23.0,45.0,44.0,22.0,38.0,36.0,43.0,38.0,66.0,12.0,51.0,57.0,43.0,0.0,11.0
30,33,2005.0,44.0,23.0,30,13.0,19.0,52.0,8.0,3.0,31.0,9.0,10.0,35.0,10.0,36.0,45.0,46.0,22.0,49.0,37.0,50.0,51.0,62.0,11.0,56.0,56.0,48.0,0.0,27.0
31,34,2005.0,45.0,43.0,31,10.0,17.0,53.0,7.0,3.0,32.0,6.0,10.0,28.0,10.0,29.0,48.0,37.0,23.0,63.0,37.0,46.0,50.0,67.0,10.0,50.0,75.0,49.0,0.0,22.0
32,35,2005.0,46.0,47.0,32,9.0,21.0,59.0,7.0,2.0,43.0,3.0,11.0,20.0,5.0,21.0,47.0,45.0,23.0,46.0,45.0,51.0,49.0,76.0,15.0,57.0,72.0,53.0,0.0,11.0
33,36,2005.0,47.0,52.0,33,11.0,26.0,58.0,9.0,4.0,55.0,5.0,12.0,26.0,7.0,30.0,49.0,40.0,26.0,48.0,46.0,52.0,45.0,76.0,16.0,48.0,61.0,50.0,0.0,19.0
34,37,2005.0,48.0,116.0,34,10.0,19.0,58.0,6.0,3.0,40.0,4.0,6.0,9.0,4.0,12.0,51.0,44.0,22.0,58.0,53.0,53.0,54.0,69.0,16.0,51.0,56.0,50.0,0.0,11.0
35,38,2005.0,49.0,214.0,35,10.0,15.0,66.0,5.0,3.0,27.0,7.0,11.0,13.0,5.0,13.0,54.0,40.0,23.0,55.0,46.0,52.0,60.0,70.0,16.0,51.0,67.0,65.0,0.0,8.0
36,39,2005.0,50.0,399.0,36,8.0,10.0,64.0,4.0,3.0,16.0,5.0,7.0,7.0,11.0,8.0,46.0,44.0,21.0,42.0,46.0,51.0,55.0,59.0,6.0,43.0,53.0,52.0,0.0,7.0
37,40,2005.0,51.0,691.0,37,8.0,10.0,72.0,3.0,2.0,16.0,4.0,8.0,4.0,3.0,5.0,50.0,44.0,21.0,42.0,39.0,55.0,54.0,67.0,10.0,52.0,43.0,45.0,0.0,10.0
38,41,2005.0,52.0,786.0,38,8.0,9.0,70.0,3.0,2.0,11.0,2.0,8.0,5.0,4.0,6.0,51.0,43.0,21.0,39.0,47.0,53.0,47.0,62.0,14.0,51.0,54.0,51.0,0.0,7.0
39,42,2006.0,1.0,752.0,39,7.0,8.0,70.0,3.0,2.0,8.0,4.0,6.0,4.0,2.0,4.0,49.0,46.0,21.0,42.0,50.0,57.0,53.0,62.0,8.0,50.0,59.0,56.0,0.0,14.0
40,43,2006.0,2.0,843.0,40,5.0,7.0,76.0,2.0,3.0,5.0,5.0,8.0,5.0,3.0,5.0,51.0,46.0,24.0,51.0,55.0,62.0,69.0,58.0,5.0,57.0,37.0,40.0,0.0,10.0
41,44,2006.0,3.0,883.0,41,6.0,10.0,89.0,3.0,3.0,6.0,3.0,6.0,4.0,2.0,4.0,62.0,53.0,28.0,65.0,71.0,71.0,81.0,65.0,4.0,59.0,31.0,42.0,0.0,18.0
42,45,2006.0,4.0,1059.0,42,5.0,7.0,75.0,3.0,2.0,4.0,2.0,6.0,3.0,2.0,3.0,62.0,45.0,23.0,59.0,53.0,69.0,54.0,62.0,6.0,55.0,41.0,46.0,0.0,20.0
43,46,2006.0,5.0,1173.0,43,6.0,6.0,63.0,2.0,2.0,3.0,4.0,7.0,5.0,2.0,5.0,53.0,46.0,22.0,44.0,54.0,63.0,64.0,69.0,7.0,67.0,56.0,45.0,0.0,13.0
44,47,2006.0,6.0,1297.0,44,7.0,6.0,61.0,2.0,2.0,2.0,4.0,8.0,3.0,3.0,4.0,55.0,43.0,21.0,67.0,53.0,58.0,50.0,65.0,6.0,55.0,49.0,40.0,0.0,14.0
45,48,2006.0,7.0,1586.0,45,8.0,6.0,60.0,2.0,2.0,2.0,3.0,11.0,5.0,3.0,4.0,53.0,51.0,21.0,67.0,53.0,54.0,51.0,71.0,11.0,52.0,60.0,50.0,0.0,9.0
46,49,2006.0,8.0,1625.0,46,7.0,6.0,60.0,2.0,2.0,2.0,2.0,8.0,3.0,2.0,3.0,57.0,53.0,24.0,66.0,47.0,61.0,64.0,72.0,15.0,64.0,49.0,51.0,0.0,5.0
47,50,2006.0,9.0,1802.0,47,8.0,6.0,61.0,2.0,2.0,1.0,4.0,11.0,3.0,2.0,3.0,57.0,51.0,22.0,61.0,49.0,61.0,62.0,67.0,10.0,59.0,42.0,43.0,0.0,10.0
48,51,2006.0,10.0,1754.0,48,8.0,6.0,61.0,2.0,3.0,1.0,6.0,9.0,3.0,3.0,4.0,62.0,53.0,23.0,43.0,52.0,60.0,50.0,70.0,14.0,59.0,51.0,52.0,0.0,14.0
49,52,2006.0,11.0,1381.0,49,9.0,7.0,65.0,3.0,3.0,1.0,7.0,7.0,5.0,4.0,6.0,63.0,56.0,25.0,65.0,54.0,60.0,45.0,76.0,13.0,58.0,49.0,53.0,0.0,9.0
50,53,2006.0,12.0,1190.0,50,8.0,7.0,59.0,3.0,3.0,1.0,4.0,12.0,6.0,2.0,7.0,59.0,62.0,25.0,53.0,52.0,58.0,59.0,73.0,13.0,55.0,47.0,59.0,0.0,17.0
51,54,2006.0,13.0,975.0,51,9.0,6.0,53.0,3.0,2.0,1.0,5.0,8.0,4.0,2.0,5.0,60.0,58.0,20.0,50.0,49.0,63.0,45.0,72.0,13.0,52.0,45.0,50.0,0.0,8.0
52,55,2006.0,14.0,605.0,52,9.0,7.0,49.0,4.0,2.0,1.0,3.0,9.0,6.0,4.0,7.0,53.0,54.0,22.0,61.0,54.0,53.0,33.0,59.0,9.0,55.0,42.0,59.0,0.0,8.0
53,56,2006.0,15.0,458.0,53,8.0,6.0,54.0,3.0,2.0,1.0,3.0,14.0,5.0,4.0,6.0,54.0,56.0,25.0,61.0,47.0,50.0,51.0,69.0,14.0,56.0,45.0,67.0,0.0,14.0
54,57,2006.0,16.0,346.0,54,7.0,5.0,48.0,2.0,2.0,1.0,0.0,10.0,3.0,4.0,3.0,53.0,57.0,25.0,60.0,45.0,50.0,41.0,67.0,19.0,60.0,60.0,53.0,0.0,7.0
55,58,2006.0,17.0,200.0,55,6.0,5.0,44.0,2.0,2.0,1.0,2.0,10.0,2.0,2.0,3.0,54.0,52.0,23.0,51.0,43.0,52.0,45.0,67.0,12.0,58.0,51.0,49.0,0.0,5.0
